1.000000-5  0.000000+0 0.000000+0                                            
 1.708000+6  3.402600-1 1.469800-1-4.307100-3 0.000000+0                      
 1.718000+6  3.644800-1 1.661000-1 3.370300-2 0.000000+0                      
 1.719000+6  3.650200-1 1.747700-1 1.302000-2 0.000000+0                      
 1.722000+6  4.335900-1 1.922100-1 3.330000-2 0.000000+0                      
 1.729000+6  4.548500-1 1.739800-1 3.020300-2 0.000000+0                      
 1.730000+6  4.918600-1 1.794900-1 3.731500-2 0.000000+0                      
 1.737000+6  4.940800-1 1.879200-1 3.040100-2 0.000000+0                      
 1.738000+6  5.018200-1 1.807100-1 5.371600-2 0.000000+0                      
 1.740000+6  5.051300-1 1.921400-1 3.448600-2 0.000000+0                      
 1.743000+6  5.142400-1 1.996800-1 3.673900-2 0.000000+0                      
 1.745000+6  4.879200-1 2.001600-1 2.697600-2 0.000000+0                      
 1.746000+6  5.178200-1 2.120200-1 2.562000-2 0.000000+0                      
 1.747000+6  4.712600-1 2.349300-1-4.060200-4 0.000000+0                      
 1.748000+6  5.473500-1 2.166900-1 5.412400-2 0.000000+0                      
 1.749000+6  5.105900-1 1.909900-1 3.751300-2 0.000000+0                      
 1.750000+6  4.865900-1 1.597800-1 4.184800-2 0.000000+0                      
 1.751000+6  4.539600-1 1.492200-1 1.362300-2 0.000000+0                      
 1.754000+6  5.112100-1 1.919200-1 1.802700-2 0.000000+0                      
 1.755000+6  5.295200-1 1.929600-1 4.624200-2 0.000000+0                      
 1.756000+6  5.217700-1 1.844800-1 5.015000-2 0.000000+0                      
 1.758000+6  4.753700-1 1.593800-1 1.711700-2 0.000000+0                      
